Q231690	Bhimrao Ramji Ambedkar
Q595653	Rodrigo de Souza Cardoso
Q3023716	Derek Ferguson
Q22	Scotland
Q9294395	Hebert Revetria
Q332532	Deportes Tolima
Q106942	Candice Bergen
Q55244925	Category:Candice Bergen
Q3375172	Yunti
Q8733	Qing dynasty
Q300069	John Denham
Q76473	University of Southampton
Q13529978	Hugh Lucas-Tooth
Q83602	homeschooling
Q275146	P. V. Narasimha Rao
Q1353	Delhi
Q7823174	Tony Piccolo
Q3610010	Alessandro Faria
Q6165651	Xavier Moro León
Q917025	Mérida UD
Q130742	Alanis Morissette
Q37073	pop music
Q76821	George Grey
Q968773	Oleksandr Yakovenko
Q1751728	Henry Zambrano
Q739	Colombia
Q165544	Władysław Anders
Q2309070	1939–45 Star
Q133267	Lev Landau
Q960966	Order of the Badge of Honour
Q392000	David Simpson
Q2800825	Simpson
Q1905873	Martín Barlocco
Q464810	John Warner
Q15847195	Selim Akbulut
Q439926	Paul Codrea
Q841245	FC Argeș
Q41421	Michael Jordan
Q26220952	Yvette Prieto
Q15999959	William Rupert Rees-Davies
Q1233784	Inner Temple
Q382069	Giovanni Silva de Oliveira
Q11043106	Joan Vallvé i Ribera
Q130798	Kendrick Lamar
Q487119	Compton
Q559613	Stewart Stevenson
Q10658	Scottish National Party
Q211124	Kostas Katsouranis
Q757754	Atromitos F.C.
Q6143449	James Spicer
Q5480792	Francis Dutton
Q3119895	Nate Schierholtz
Q1091355	Paul Stewart
Q18509	Cambridge United F.C.
Q7149560	Paul Bryan
Q203684	Simone Pepe
Q176883	2010 FIFA World Cup
Q202237	Landon Donovan
Q1297890	Jorge Fernández Díaz
Q678169	Club de Fútbol Reboceros de La Piedad
Q634990	Tres Sargentos
Q333700	Roy Mason
Q2170752	Roy
Q6834367	Michael Shersby
Q260324	Tony Baldry
Q202209	Giuliano Amato
Q1541071	Italian Minister of the Interior
Q189827	John Arne Riise
Q21448173	Riise
Q1739864	Alexander Beresford Hope
Q1105338	Marc Nygaard
Q16880608	Nygaard
Q208909	Parlophone
Q1418512	Fiona Hyslop
Q282990	Esteban Granero
Q273969	William Jones
Q161885	Great Britain
Q581921	Mexican American
Q74129	Hans-Rudolf Rösing
Q261163	7th U-boat Flotilla
Q234928	Alice Bradley Sheldon
Q5945320	Huntington D. Sheldon
Q5444728	Fernando Gaston Soler
Q2638852	Club Sportivo Desamparados
Q156193	Pierre Boulez
Q5994	piano
Q6107362	J. W. Henley
Q6988652	Neil Grayson
Q131262	University of Bologna
Q1751797	Leonardo Fabio Moreno
Q55637	José María Aznar
Q295627	Scott Carson
Q3752146	Jaime del Burgo
Q840015	Royal Academy of Moral and Political Sciences
Q694826	Tadeusz Stefan Zieliński
Q27621	Saint Petersburg State University
Q180939	Peter Crouch
Q2074252	Crouch
Q6530	Stanisław Lem
Q728895	Panagis Tsaldaris
Q372436	statesperson
Q46096	Felix Mendelssohn
Q1457560	cemeteries at Hallesches Tor
Q1882795	Maciej Terlecki
Q2713270	Emeka Ezeugo
Q16389	Charles K. Kao
Q1054923	British Hong Kong
Q329885	Blerim Rrustemi
Q6990266	Nelo
Q220547	Zoran Pavlović
Q220484	Zoran
Q9582	Gerald Ford
Q23021506	captain lieutenant
Q1346889	Epi Drost
Q34370	Rotterdam
Q444675	Shona Robison
Q2442896	Mikhail Sivakow
Q726285	FC Gomel
Q3069915	Paul Channon, Baron Kelvedon
Q4925623	Paul
Q7546	Ingmar Bergman
Q2533208	Eva Bergman
Q249469	Chung Myung-hee
Q334381	Edward Cardwell, 1st Viscount Cardwell
Q185902	viscount
Q209769	Heiko Bonan
Q777755	Jonathan Sesma
Q11974	Las Palmas de Gran Canaria
Q33391	Leon Trotsky
Q1145552	UbuWeb
Q3784916	Lord Henry Lennox
Q177681	Thomas Hunt Morgan
Q1360303	University of Kentucky
Q6240434	John Hunt
Q4182927	stockbroker
Q16140640	Order of Independence
Q2556710	Mathías Vidangossy
Q9559	John Major
Q7383524	Rutlish School
Q61307	Ulla Schmidt
Q555931	2013 German federal election
Q5724327	Henry Kimber
Q332393	John Prescott
Q71542	Friedrich Ruge
Q922946	Everson Pereira da Silva
Q3897075	Pasquale Logarzo
Q332475	Walter Guinness, 1st Baron Moyne
Q194540	Queen Elizabeth II Diamond Jubilee Medal
Q478746	Auguste Champetier de Ribes
Q2983698	Collège Stanislas de Paris
Q1722877	Paul Warhurst
Q1334416	Peter Davenport
Q247589	George Lansbury
Q5337337	Edgar Lansbury
Q7324235	Richard Body
Q617407	Eton
Q4284185	Paulo Massaro
Q3072297	James Hope, 1st Baron Rankeillour
Q76139	Gerry Adams
Q332595	John Hobhouse, 1st Baron Broughton
Q36834	composer
Q526828	Lampros Choutos
Q465681	Sophie Rostopchine, Comtesse de Ségur
Q12799318	short novel
Q210059	Neil Gaiman
Q17008985	Locus Award for Best Short Story
Q57992	Johannes Peter Müller
Q215730	Joseph Görres
Q173746	Paul Erdős
Q213095	Gélson Fernandes
Q251040	Álvaro Luiz Maior de Aquino
Q1102763	Joey Guðjónsson
Q633223	Club León
Q4952218	Boyan Peykov
Q1689399	Jimmy Mulisa
Q6513124	Lee Boylan
Q4520730	Vyacheslav Sharpar
Q5524144	Garry Haylock
Q1130432	Glenavon F.C.
Q313159	Karim Ziani
Q21502202	Ziani
Q25672	Alexander von Benckendorff
Q1770	Tallinn
Q10444267	Jeff Goulding
Q18609696	Jeff
Q4125595	Viktor Voronkov
Q16166024	Heidi Blomstedt
Q1394102	Vitaly Churkin
Q6275830	Jonny Steele
Q21484688	Steele
Q658479	Marcel Cachin
Q29559610	Cachin
Q609841	Antti Sumiala
Q424646	Akçaabat Sebatspor
Q5108471	Chris Wilder
Q5301121	Dougie Bell
Q2400390	Aloísio José da Silva
Q506832	Club Athletico Paranaense
Q5383	David Bowie
Q193207	ambient music
Q38049	Herta Müller
Q218	Romania
Q207628	composed musical work
Q357190	Stanko Svitlica
Q19967566	Stanko
Q14915577	Martin Hamilton-Smith
Q493898	lieutenant colonel
Q212499	Jean-Léon Gérôme
Q42865	Orientalism
Q48084	Andrey Yeryomenko
Q14404494	M.V. Frunze Military Academy
Q560603	Klodian Duro
Q81566	KS Vllaznia Shkodër
Q130311	George Michael
Q10980637	Template:George Michael
Q446724	Grand Duke Konstantin Nikolayevich of Russia
Q1549319	Grand Prince
Q49767	François-René de Chateaubriand
Q877884	Legitimism
Q353013	Ulises Cruz
Q923342	Cruz
Q41422	Mark Ruffalo
Q83364	vegetarianism
Q275964	Mariska Hargitay
Q948126	Hungarian Americans
Q3163169	Javier Sáenz de Cosculluela
Q21492301	Sáenz
Q333670	Gordon Marsden
Q271963	James Van Allen
Q57114	Jens Lehmann
Q2246251	Jens
Q1059589	Martin Cranie
Q363846	Boris Nemtsov
Q39314414	Boris
Q6206501	Joaquín Moso
Q6204496	Joaquín
Q454149	Alan Dukes
Q334646	Michael Spicer, Baron Spicer
Q924087	Fabio Bazzani
Q5403246	Ethel du Pont
Q10598	David James
Q809027	Barry Desmond
Q21512357	Desmond
Q13529930	Sir William Hart Dyke, 7th Baronet
Q536344	Marcel Ndjeng
Q261001	Shaun Woodward
Q5246376	Dean Morgan
Q312853	Neal Stephenson
Q9670678	Category:Neal Stephenson
Q344391	Tomáš Medveď
Q2947433	Chad Durbin
Q7121742	Pablo Rodríguez
Q2045138	Pablo
Q6896540	Molly Childers
Q762	Leonardo da Vinci
Q56229514	Caterina di Meo Lippi
Q748311	Tobias Grahn
Q25789	Karlskrona
Q296457	Jesper Grønkjær
Q5109677	Christian Hanson
Q4467791	Mikhail Tyufyakov
Q134068	Nawaz Sharif
Q6781082	Maryam Nawaz
Q1432791	Navarrese People's Union
Q838433	Zhu Su
Q11094279	Zhu Chun
Q10798782	television actor
Q5218052	Daniel Marques da Silva
Q1759235	Jaú
Q19673	Al Gore
Q928403	Daniel García Lara
Q94765	James Wilson
Q2073116	Ihar Hurynovich
Q37134	Frederick William III of Prussia
Q205545	Eleftherios Venizelos
Q42620840	Venizelos
Q85867	Jürgen Oesten
Q2874431	Grunewald
Q6937422	Murat Salar
Q434929	Altay S.K.
Q36949	Robert De Niro
Q2635302	Robert De Niro filmography
Q3852879	Mauro Milanese
Q6850762	Milanese
Q10431301	Simon Wormull
Q5904199	Hornchurch F.C.
Q547766	Michael Chopra
Q527326	Jordi Solé Tura
Q3326414	Popular Liberation Front
Q831169	Yinxiang
Q246243	Marco Etcheverry
Q249612	Club Sport Emelec
Q5256872	Dene Shields
Q6112324	Jhonnes
Q192387	Londrina
Q20743760	Encyclopedia of Political Theory (2010 ed.)
Q168740	Juan Mata
Q475210	Juan
Q7527791	Sir John Gilmour, 1st Baronet
Q4765305	Anisfield-Wolf Book Awards
Q1614708	Massimo Cicconi
Q330604	William Joynson-Hicks, 1st Viscount Brentford
Q355687	Adem Sarı
Q36	Poland
Q888018	Francismar Carioca de Oliveira
Q328737	Graham Stringer
Q16883926	Stringer
Q272452	Gareth Thomas
Q242278	Candace Parker
Q3665646	basketball player
Q12750	Josep Puig i Cadafalch
Q630151	Bad Eilsen
Q918930	Mickaël Tavares
Q1058629	small arms
Q1111339	Diego Pellegrini
Q601373	Willamis de Souza Silva
Q9203091	Esporte Clube Passo Fundo
Q2733524	Alex Bruce
Q181875	Robert Peel
Q7106909	Oskar Drobne
Q200015	Vladimir Zhirinovsky
Q3703543	Davide Falcioni
Q7085	Niels Bohr
Q310009	Harald Bohr
Q312501	Henri Pirenne
Q31	Belgium
Q4894226	Bernhard Samuelson
Q8873	Satyajit Ray
Q7241	Rabindranath Tagore
Q50764	Éric Rohmer
Q41964982	Rohmer
Q512135	Andrius Velička
Q4115712	Kaunas
Q14244926	José Henrique da Silva Dourado
Q2419887	Mogi Mirim Esporte Clube
Q386481	Jimmy Carter Library and Museum
Q339581	Aleksey Batalov
Q36180	writer
Q61064	Wassily Kandinsky
Q35032	Eastern Orthodox Church
Q40904	Werner Heisenberg
Q47544540	Heisenberg
Q2571	Walter Scheel
Q459620	German Academy for Language and Literature
Q5186212	Cristian Jeandet
Q401645	Ahmed bin Abdulaziz Al Saud
Q3692	Riyadh
Q275013	Austen Henry Layard
Q506369	Order of the Bath
Q374024	Nikolai Luzin
Q7498010	Shipley
Q1247899	Jaime Bragança
Q2605834	Jaime
Q563057	Charlie Rich
Q486748	pianist
Q286118	Philip Stanhope, 5th Earl Stanhope
Q8273116	João Paulo Pinto Ribeiro
Q3590754	Portugal national under-17 football team
Q41914	Manmohan Singh
Q2030145	7, Lok Kalyan Marg
Q334228	Sir Philip Grey Egerton, 10th Baronet
Q1540875	Alfredo Cariello
Q5593019	Graham Lewis
Q1176774	David Střihavka
Q8531	1996 Summer Olympics
Q80222	Joseph-Louis Lagrange
Q5525506	Gary MacDonald
Q6400810	Metropolitan Police F.C.
Q333345	Harry Crookshank, 1st Viscount Crookshank
Q122701	William Thomson, 1st Baron Kelvin
Q539051	Greeks
Q3990628	Thomas Gibson Bowles
Q4406179	Andrei Salnikov
Q55331087	Category:Jens Lehmann
Q1541431	Pasquale Carotenuto
Q3963481	S.S.C. Gragnano
Q968840	Kenneth Lonergan
Q13595531	Ethan Coen
Q21578	Princeton University
Q483325	Ellen DeGeneres
Q258980	Alexandra Hedison
Q313013	Brian Wilson
Q4965661	Brian Wilson discography
Q1444714	Sergej Jakirović
Q462411	N.K. Zagreb
Q2460829	Turki II bin Abdul-Aziz Al Saud
Q367825	Salman bin Abdulaziz Al Saud
Q1146861	Cy Coleman
Q966540	Steinhardt School of Culture, Education, and Human Development
Q361439	Mario Regueiro
Q37044882	Regueiro
Q457876	Mateo Figoli
Q204481	far-right
Q6307083	Julian Critchley
Q82606	Pembroke College
Q2832937	Alex Dias
Q8651	Douglas Shearer
Q37015944	Shearer
Q313917	Fromental Halévy
Q7349266	Robert Richards
Q24189659	Moonta Mines
Q8016	Winston Churchill
Q215112	Second Boer War
Q662406	Jean-François Deniau
Q1993028	Nenad Mladenović
Q180453	Dolly Parton
Q721619	Matteo Contini
Q21492361	Contini
Q88436	Werner Hartmann
Q666604	U-37
Q1738068	Keith Lowe
Q10427238	Mirko Castillo
Q12957	Raymond Barre
Q834819	University of La Réunion
Q264720	Tom Brake
Q454142	George Noble Plunkett
Q333808	Sir George Trevelyan, 2nd Baronet
Q2475165	Ulla Strand
Q1085254	Miklós Kovács
Q444295	Bruce Grobbelaar
Q64035	Marc Ziegler
Q2192717	Jordi Pablo Ripollés
Q1255210	Golden Globe Award for Best Actress – Television Series Musical or Comedy
Q532864	Tomislav Ivković
Q36704	Yugoslavia
Q51673	Mark Antony
Q4760900	Andy King
Q672367	Guilherme Afonso
Q2350511	Roberto Merino
Q334392	John Young, 1st Baron Lisgar
Q932985	Pierre Boya
Q750091	Andrea Leadsom
Q865528	University of Warwick
Q1064771	Randy Wolf
Q1901644	Markus Kreuz
Q5081231	Charles Newdigate Newdegate
Q10633	Queen Elizabeth, The Queen Mother
Q26950764	organizational founder
Q48053	Kirill Moskalenko
Q4031102	38th Army
Q11928320	Jordi Marsal i Muntalà
Q23365	Jeremy Renner
Q2053375	Luis Liendo
Q3681504	Chaco Petrolero
Q332323	Geoffrey Howe
Q358987	Murat Hacıoğlu
Q516805	Claudio Borghi
Q414	Argentina
Q12177415	Knight Commander of the Order of St Michael and St George
Q640844	Jurica Puljiz
Q2482187	Richard Pacquette
Q722282	Marcelino Oreja, 1st Marquis of Oreja
Q701362	Jaime Mayor Oreja
Q316138	Michael Moorcock
Q285966	Hawkwind
Q5982908	Ian Sinclair
Q18336315	Ian
Q3605790	Adriano Zancopè
Q8428	Calcio Padova
Q204815	Marvin Minsky
Q1346298	Eoin MacNeill
Q1140152	Irish Republic
Q125121	Aretha Franklin
Q2696075	Franklin
Q2931622	Marcelo Moretto
Q10389163	Greg Downs
Q718227	Emperor Xuan of Chen
Q11658318	Chen Shuying
Q887695	Alex McCarthy
Q78490	Thomas Klestil
Q176495	Federal State of Austria
Q150552	Franz von Papen
Q1567381	Papen family
Q15054299	Anthony Greenwood, Baron Greenwood of Rossendale
Q151796	Tzipi Livni
Q6724502	Sara Livni
Q7141520	Antonio
Q3610028	Alessandro Frau
Q391316	Porto Torres
Q61758	Lazarus Fuchs
Q2966	Heidelberg
Q436518	Eugène Dadi
Q545303	Dean Saunders
Q23051	Swansea
Q2516	Helmut Schmidt
Q1175	Langenhorn
Q206	Stephen Harper
Q1067471	University of Calgary
Q3629628	Augusto Gabriele
Q312418	Iván Kaviedes Toaquiza
Q1015654	Santo Domingo
Q362955	Vitālijs Astafjevs
Q1773	Riga
Q515924	Don Dunstan
Q408	Australia
Q131964	Austrian Empire
Q40912	Frank Sinatra
Q1530455	vocal jazz
Q440166	Lauri Ingman
Q170328	Éric Cantona
Q167654	Frans Hals
Q9920	Haarlem
Q5236432	David Lee
Q48947	Plymouth Argyle F.C.
Q36661	Henrik Ibsen
Q60	New York City
Q318475	Randy Newman
Q7783864	Thiago dos Santos Ferreira
Q291937	Royale Union Tubize-Braine
Q2370801	Academy of Sciences of the USSR
Q7816502	Tom Koutsantonis
Q4269361	Greek Australian
Q310994	Patrick Hillery
Q11571	Cristiano Ronaldo
Q234458	Irina Shayk
Q3392804	Juanmi García
Q58720	Mikhail Vassilyevich Lomonosov
Q9364	Jean-Paul Sartre
Q217070	Laurent Fabius
Q23731272	Fabius
Q43179	Ellen Johnson Sirleaf
Q5146872	College of West Africa
Q5493388	Arsenio Fernández de Mesa
Q1441582	American Music Award for Favorite Country Female Artist
Q4202796	Konstantin Ionov
Q202245	James Ryan
Q23714965	Máirín Cregan
Q2824652	Admir Aganović
Q154691	Carlos Fuentes
Q3306	Panama City
Q42930	Dustin Hoffman
Q24068494	Category:Dustin Hoffman
Q347603	Matteo Ferrari
Q500560	Aflou
Q215182	Michael Stipe
Q986200	Decatur
Q175307	Kamilla Rytter Juhl
Q215177	Skagen
Q12898625	Alanis
Q2625332	Gregorio Peces-Barba
Q185351	jurist
Q30564104	Emilio J. Rodríguez Posada
Q303	Elvis Presley
Q4377426	Vernon Elvis Presley
Q151593	Olivier Messiaen
Q6438085	Kristijan Tucaković
Q403	Serbia
Q204655	Billy Gilliland
Q55662291	1982 Irish Open Badminton Championships – men's doubles
Q5294625	Donald Kaberry, Baron Kaberry of Adel
Q53437	Augustus II the Strong
Q590208	Allgemeine Deutsche Biographie
Q2598340	Pylyp Budkivskiy
Q9307285	Ukraine national under-18 football team
Q6165547	Javier Gómez Cifuentes
Q544120	Zamora CF
Q42884	Germans
Q2699101	Sebastián Rozental
Q9288	Hebrew
Q206856	Angela Lansbury
Q19831453	A
Q7298	Antonín Dvořák
Q2042	Charles de Gaulle
Q49584	Wülzburg
Q461513	Będzin
Q855	Joseph Stalin
Q5543028	George Oliver
Q104266	Mel Brooks
Q28170	Max Brooks
Q295688	Edward Rydz-Śmigły
Q272259	David Tredinnick
Q7312682	Renato Santos
Q578117	Davide Bombardini
Q335747	Hector Monro, Baron Monro of Langholm
Q245257	William Styron
Q919465	Stefán Gíslason
Q1146805	Fjarðabyggð
Q4681691	Adelaide Club
Q742333	history painting
Q453371	Claude Miller
Q1605060	Miller
Q169502	Émile Loubet
Q3064259	Paris Law Faculty
Q62227	Juan Esnáider
Q48983	Linus Pauling
Q7155110	Pauling
Q76428	Carl Philipp Emanuel Bach
Q1975943	Muhammad bin Abdulaziz Al Saud
Q4704130	Al Jawhara bint Musaed Al Jiluwi
Q5585630	Gordon Owen
Q11681748	winger
Q734650	Nicola Silvestri
Q2426048	Tommy McAvoy
Q164521	George Best
Q44461	Richard Dawkins
Q11774202	essayist
Q1699992	Evelyn Denison, 1st Viscount Ossington
Q36856231	Schwinger
Q504729	Kamil Kosowski
Q329	Nicolas Sarkozy
Q16338080	Andrée Mallah
Q8018	Augustine of Hippo
Q332942	Adeodatus
Q18391	Elie Wiesel
Q18810374	Elie
Q512243	Wouter Claes
Q475658	President of Austria
Q333903	Margaret Ewing
Q128581	breast cancer
Q859	Plato
Q844930	Classical Athens
Q4679557	Adam Nowland
Q347181	Adam
Q332793	Henry Hardinge, 1st Viscount Hardinge
Q5890965	Steve Jones
Q3234980	Adam Eckersley
Q927550	Malcolm Turnbull
Q17066584	Turnbull
Q7527599	Sir John Benn, 1st Baronet
Q6788914	Matt Knowles
Q4327710	Knowles
Q334287	Derick Heathcoat-Amory, 1st Viscount Amory
Q637298	Tiverton
Q11239	David Rockefeller
Q18814623	autobiographer
Q2009914	Gonzalo Martínez
Q906471	Martínez
Q62823	Barranquilla
Q212961	pancreatic cancer
Q80966	Cate Blanchett
Q1330670	Elise
Q76357	Jürgen Habermas
Q1789540	critical philosophy
Q478321	Archcathedral Basilica of the Assumption of the Blessed Virgin Mary and Saint Andrew in Frombork
Q980474	Marco Ambrosio
Q122553	Charles II of England
Q334337	David Maxwell Fyfe, 1st Earl of Kilmuir
Q3519259	count
Q184535	Sofia Kovalevskaya
Q27038331	Category:Sofia Kovalevskaya
Q104081	Mickey Rooney
Q18419	Brooklyn
Q16075373	Zhao Mu
Q207129	Zlatan Muslimović
Q1048	Julius Caesar
Q41571	epilepsy
Q4463747	Boris Tropaneț
Q264662	Graham Brady
Q554505	Bogdan Mara
Q204850	Deva
Q2449620	Jozef Kožlej
Q153539	SpVgg Greuther Fürth
Q1644369	Herly Alcázar
Q657461	Cartagena de Indias
Q35794	University of Cambridge
Q208175	Novodevichy Cemetery
Q333182	Iain Macleod
Q287892	Ana Mato Adrover
Q548970	Gabriel Mato Adrover
Q192592	Kenneth Arrow
Q7290430	Ramón Aguirre Rodríguez
Q185088	People's Party
Q10452041	Nicholas Bignall
Q15788603	Bignall
Q2622956	Viktor Sadovnichiy
Q17311605	Lentapedia (full versions)
Q1081920	Gennaro Scarlato
Q5076996	Charles Duncan
Q5933991	Hugo Guerra
Q841342	Canelones
Q9957	Hongwu Emperor
Q6121440	Zhu Shizhen
Q2857740	Filipe Gouveia
Q1387855	F.C. Vizela
Q343323	Attilio Piccioni
Q2314960	Ivan Gvozdenović
Q462461	Bor
Q134077	Rachel Weisz
Q6868841	Minnie Weisz
Q360763	Daniel Fernandes
Q993538	Si
Q37489145	Marioni
Q4274550	Vladimir Mazov
Q1318037	Giovanni Bartolucci
Q52066	Bibbiena
Q217038	Māris Verpakovskis
Q8806	Getafe CF
Q2836646	Alice Reichen
Q650689	Alice
Q2470867	Denni Conteh
Q192565	João Pereira
Q267245	Portugal national association football team
Q634861	Gonzalo Colsa
Q28189	Abdus Salam
Q14623515	Jordi Pedret
Q1633212	1993 Spanish general election
Q197891	Martin Guzik
Q18324625	Guzik
Q702468	Salvador de Madariaga
Q221997	Jeb Bush
Q312510	Mark Bresciano
Q5959005	Kendall Waston
Q194387	Costa Rica national football team
Q23434	Ernest Hemingway
Q19841648	Grace Hall Hemingway
Q175457	Sergey Ilyushin
Q12902079	Sergey
Q981201	Luca Anania
Q2843	Lübeck
Q1695842	Vincenzo Scotti
Q144689	Efe Sodje
Q16014216	Jack Wright
Q35715	South Australia
Q7356	Emperor Wu of Jin
Q592176	Sima
Q5593124	Graham Page
Q209441	Kyösti Kallio
Q1044613	Helsinki Central Railway Station
Q1344	opera
Q10709	Fernando Forestieri
Q6703	Empoli F.C.
Q350721	Houssine Kharja
Q283760	Al-Arabi SC
Q40909	Virginia Woolf
Q24025072	Virginia Woolf
Q232725	Aurelia
Q363823	Christoffer Wilhelm Eckersberg
Q11966490	Eckersberg
Q205375	inventor
Q23352	George Reid
Q7983897	Wesley College
Q10556	Heiðar Helguson
Q504	Émile Zola
Q2958359	Charles
Q1433020	Odvan
Q24829	Orson Welles
Q65	Los Angeles
Q13137230	Nick
Q28695	University of Helsinki
Q429158	Álvaro Pintos
Q38757	Bertolt Brecht
Q18012526	Eugen
Q203840	Isabella Rossellini
Q274267	Marie-Claude Vaillant-Couturier
Q33231	photographer
Q3701608	Daniel Gbaguidi
Q12064625	Thomas Power O'Connor
Q2043296	O'Connor
Q94123	Jack Lemmon
Q55328094	Category:Jack Lemmon
Q333591	Alfred Mond, 1st Baron Melchett
Q467269	Cheltenham College
Q108510	James Garner
Q40347	Norman
Q495321	Rick Baker
Q19020	Academy Awards
Q186264	Darius Milhaud
Q2994538	Conservatoire National Supérieur de Musique et de Danse
Q331975	Naohiro Takahara
Q5644342	Hamburger SV II
Q837320	University of Havana
Q310630	Ivan Vazov
Q16010090	Hugh O'Neill, 1st Baron Rathcavan
Q262040	Sammy Wilson
Q877925	Queen's University Belfast
Q1425313	Garret FitzGerald
Q16466739	FitzGerald
Q6233734	John Foster
Q313617	David Healy
Q19597	Rangers F.C.
Q694869	Steve McCabe
Q1786145	Port Glasgow
Q320229	Emperor Go-Mizunoo
Q10410370	Neil Whitworth
Q15964413	Mark Peters
Q1424548	Frimley
Q381953	Ramón Menéndez Pidal
Q18908018	Ensayo de un catálogo de periodistas españoles del siglo XIX (1903-1904)
Q312901	Josep Borrell
Q219694	Complutense University of Madrid
Q7528953	Samuel Way
Q19975392	James Way
Q2400411	Andrea Russotto
Q337380	Hugh Gaitskell
Q6791037	Matthew O'Reilly
Q2346842	FC Barcelona C
Q1044	Sierra Leone
Q152094	Alexandra Feodorovna (Alix of Hesse)
Q55254405	Category:Alexandra Fyodorovna (Alix of Hesse)
Q161819	Julie Andrews
Q17035993	Tring Park School for the Performing Arts
Q205721	Joni Mitchell
Q8567979	Category:Joni Mitchell
Q4068627	André Almeida Pinto
Q3761256	Gerry Daly
Q973862	Paulino Martínez Soria
Q4173137	Jewish Encyclopedia of Brockhaus and Efron
Q567486	Mounir Chaftar
Q14089670	rugby union player
Q39212	John Steinbeck
Q192986	John Carew
Q20	Norway
Q1064	Alessandro Manzoni
Q478248	David Hanson
Q266146	Chris Bryant
Q20676209	Cassiano Mendes da Rocha
Q4072168	Clube Atlético Sorocaba
Q964180	Robert Darnton
Q752297	Doctor of Philosophy
Q523488	Konstantin Stoilov
Q22930173	Farouk
Q34413	Benazir Bhutto
Q326696	Murtaza Bhutto
Q327227	Sam Johnstone
Q191136	James Milner
Q21	England
Q8364191	Category:David Bowie
Q10520	David Beckham
Q2044044	PFA Team of the Year
Q3827806	Laura Mancinelli
Q429948	Laura
Q438448	Vladimir Kokovtsov
Q782162	Henri Anier
Q191	Estonia
Q554800	Jos Hooiveld
Q531137	Braulio Nóbrega
Q286767	k-os
Q727904	Cedric Gibbons
Q277751	Academy Award for Best Production Design
Q1383449	Wellington Luís de Sousa
Q5293878	Donal McDermott
Q9306853	Republic of Ireland national under-19 football team
Q269909	Andy Burnham
Q30795033	Category:Andy Burnham
Q18737016	Les Roberts
Q108560	A. R. Rahman
Q488651	Academy Award for Best Original Score
Q78496	Konrad Lorenz
Q523784	Erica van den Heuvel
Q1645815	Van den Heuvel
Q5202677	Cílio André Souza
Q455540	Esteban Solari
Q17496543	Esteban
Q234200	Santiago de Cuba Province
Q5489054	Frank Porter Graham
Q44371	Valentina Tereshkova
Q3946256	Salvatore Vicari
Q7924972	Vicari
Q6139012	James Martin McCalmont
Q7347467	Robert McCalmont
Q2463589	Jason Puncheon
Q234700	Connie Willis
Q22097468	Margit Dirac
Q191045	Felipe VI of Spain
Q333886	Georgetown University
Q6128407	James Agg-Gardner
Q1247373	Harrow School
Q8013712	William Jolliffe, 1st Baron Hylton
Q3617106	Angelo Montrone
Q969753	Luis Alberto Sánchez
Q1158617	Sánchez
Q4969441	British Americans
Q230744	Anna Wintour
Q15193	Alexander I of Russia
Q17501806	Aleksandr
Q24631	George Hamilton-Gordon, 4th Earl of Aberdeen
Q13529913	William Gordon
Q15147445	Alexey Sudarikov
Q2140674	ballistic trauma
Q7604	Leonhard Euler
Q39	Switzerland
Q47906	Hermann Göring
Q439918	Herculez Gomez
Q3874041	Nazzareno Tarantino
Q3626854	Camaiore Calcio A.S.D.
Q4636	Barbra Streisand
Q935843	Grammy Lifetime Achievement Award
Q397	Latin
Q7150541	Paul Evans
Q3590810	Wales national under-19 football team
Q317832	Nayef bin Abdul-Aziz Al Saud
Q83307	minister
Q3750991	Francisco Ferreira
Q2410308	Atyrá
Q61040	Wilhelm Roux
Q1735	Innsbruck
Q7965776	Walter Padley
Q1627864	Ruskin College
Q23	George Washington
Q2586424	Vitaliy Shmakov
Q3397660	Domenico Maietta
Q4708104	Alan Wooler
Q154353	François Arago
Q311	Père Lachaise Cemetery
Q316799	Henri Camara
Q365121	Rafael Martín Vázquez
Q151867	UEFA Euro 1988
Q23368	Chris Patten
Q3625961	Alice Patten
Q7833	Boris Vian
Q16766274	Michelle Vian
Q59064	Andros Townsend
Q728875	Konstantinos Tsaldaris
Q3703289	David Partridge
Q4895850	Bertrand Bossu
Q57475	Klaus Fuchs
Q1614821	Hervorragender Wissenschaftler des Volkes
Q103756	Eddy Merckx
Q16787460	Officer of the Order of Leopold II
Q564787	Anne-Katrin Seid
Q1653103	Milton Rodríguez
Q933994	Nicola Pozzi
Q1150828	Cícero Santos
Q1138634	Tombense Futebol Clube
Q168401	Charles Hermite
Q272208	Montparnasse Cemetery
Q104985	Klaus Clusius
Q88231	Arnold Eucken
Q804886	Zhao
Q122522	Leslie Hore-Belisha
Q43382	Plymouth
Q174710	University of California, Los Angeles
Q188696	Christian Vieri
Q1349814	S.C. Ravenna Sport 2019
Q21587867	Leonardo Rossi
Q8140765	Rossi
Q20160414	Arantza Mendizábal
Q18171345	Member of the Congress of Deputies
Q2655527	Alessandro Crescenzi
Q2820037	Aaron Cunningham
Q8007667	William Davison, 1st Baron Broughshane
Q5417893	Society of Antiquaries of London
Q57289	Toomas Hendrik Ilves
Q17290934	Lentapedia
Q3606	Emil Rilke
Q18912797	Pavlo Sirotin
Q606678	FC Ternopil
Q4683616	Admir
Q1622272	university teacher
Q16707842	Member of Parliament
Q6168520	Jaílson
